,Standard_beran,True_proba,LogisticRegression,NN_BCE,NN_MSEloss,RandomForest,KNN
146,4.7096035943893e-05,4.478087255102234e-05,5.487223548067637e-05,5.5171478147518565e-05,5.3429134603360785e-05,5.233281669918734e-05,5.8409498299067837e-05
147,3.7061538416913365e-05,3.0691589145670625e-05,3.3245158622353606e-05,3.577850195615698e-05,3.572138541694472e-05,3.608013130929684e-05,3.428310913261997e-05
148,9.793220784794672e-05,5.540208568779993e-05,5.0895836172215276e-05,4.747878934979595e-05,4.86362008402576e-05,4.475622506862085e-05,8.119866003189209e-05
149,7.243994188467178e-05,0.00010291360077636706,8.981506801979281e-05,0.00010185421473708055,8.923319160506683e-05,9.581905420423934e-05,0.00012446410583948257
150,2.651612729804139e-05,1.985294245942059e-05,2.1396586312451528e-05,2.1250463315391926e-05,2.7192200439369902e-05,2.1156150555487496e-05,3.489865293381692e-05
151,0.00012049097016731712,9.231279217009828e-05,0.00011573541050496169,0.00010629612679831702,9.87442144445246e-05,0.00010794486991172646,0.00010478841654254248
152,5.2955418981757224e-05,2.58154544431211e-05,3.791606983853515e-05,3.293356240263582e-05,3.498396173981635e-05,3.3351666563781926e-05,9.420583969940873e-05
153,2.1434303346437198e-05,1.637277528827993e-05,1.5942388287879572e-05,1.6733639490295205e-05,1.7584610070403788e-05,1.6822266838523607e-05,2.2625699580641746e-05
154,4.880017865768569e-05,1.4572639392163424e-05,3.246998449293925e-05,2.9192617742247855e-05,2.9562847729622295e-05,2.6270289534952214e-05,4.606635790380647e-05
155,2.4528784506272427e-05,1.5281838103693415e-05,1.779120934902567e-05,2.12332507210182e-05,2.1666223877920992e-05,1.7396718635211117e-05,2.2110885367536826e-05
156,4.26819451178393e-05,2.123053963773522e-05,4.116339700574114e-05,3.173682065893174e-05,2.7722489186454372e-05,3.811603524924804e-05,3.580269591819669e-05
157,1.593431544451416e-05,1.32198711833803e-05,1.211263096530266e-05,1.4217233773670231e-05,1.1957913514257506e-05,1.3172359100391165e-05,1.6982420008717643e-05
158,0.00012533604013788982,6.837468146884744e-05,7.797069214208189e-05,8.018138259629302e-05,8.106518327048251e-05,8.127816050599043e-05,0.00010994302143973143
159,4.25645721298441e-05,3.3415397582394264e-05,3.221037892976352e-05,3.877636661829735e-05,3.6383244605733665e-05,3.4042386747428466e-05,4.030114471184994e-05
160,0.00021512178935121016,6.303198706883212e-05,6.751487946633613e-05,7.17531496062795e-05,6.950631797786326e-05,6.682058302653303e-05,0.00015879861780960483
161,4.958277561792486e-05,5.129051208453318e-05,4.727639304496791e-05,6.0616459451107e-05,4.088316947212225e-05,5.0569178650748915e-05,7.91511756680785e-05
162,1.4154841122062575e-05,4.7622664649588316e-05,5.003613488665452e-05,1.1293187633131637e-05,1.3143080277285907e-05,4.9502303145228234e-05,8.132163770797635e-05
163,4.272015484506634e-05,5.7476675910991216e-05,5.74581540478749e-05,6.685267269544704e-05,4.388191626480606e-05,4.370014800990652e-05,5.433306105270244e-05
164,5.325499466811972e-05,0.0001965286495918762,0.0001870459196645371,0.0001957833525525588,0.00020194261005214813,0.00022178788950345048,0.00021453334674236102
165,5.073584431493669e-05,8.035999737123276e-05,1.5031431118985184e-05,2.08876270431534e-05,2.079021871999907e-05,1.640074712179042e-05,0.0001673829052326625
166,7.913365649275297e-05,4.243994715359965e-05,5.80293395057342e-05,6.102802398030689e-05,5.257008804487634e-05,5.9671865170557936e-05,4.0198112625229574e-05
167,5.5335416586779854e-05,4.9630925111026336e-05,5.099823814641354e-05,4.341717790058982e-05,4.483367888160264e-05,4.496461769869665e-05,6.38204271420664e-05
