,t,true_cdf_0.3,Standard_beran_cdf_0.3,NN_BCE_cdf_0.3,Standard_beran_mise_0.3,NN_BCE_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,NN_BCE_cdf_0.5,Standard_beran_mise_0.5,NN_BCE_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,NN_BCE_cdf_0.7,Standard_beran_mise_0.7,NN_BCE_mise_0.7
67,1.3625016095125786,0.9866037730823229,0.9804906360490542,0.9815891984995342,0.0001355694633698722,0.00014010305825210438,0.95585792621118,0.9444730198222662,0.9434979987817299,0.0003541211754890209,0.0005125550781494425,0.8714202328012293,0.8754323340815806,0.8738220979831317,0.001038791375551175,0.00127748657506494
68,1.3920355221885194,0.9896379859602835,0.9847566747563092,0.9858565436908516,0.00011114687226122113,0.00011766735833970017,0.9643031829409114,0.9543781466179736,0.9536150700374404,0.0002754259547460326,0.0003909612994907375,0.8909463728381233,0.8931973038282733,0.8921311916224127,0.0008928977341584883,0.0011376595651433538
69,1.4215694348644603,0.9920547555006776,0.9873357779131551,0.9885078286576371,9.22263217766701e-05,9.60424646454722e-05,0.9713759569258389,0.962431623335959,0.9620216423218708,0.00024044990607020907,0.0003334694923625291,0.908244663445149,0.9089533937373402,0.9075678583078794,0.0008543874908545397,0.0010891925044817247
70,1.4511033475404012,0.9939611763205296,0.9902485244918329,0.9915057780954267,6.900855923003294e-05,7.277851973515747e-05,0.9772422134416241,0.9689859810507613,0.9686925220901043,0.00019664378671627606,0.0002654375784340008,0.9234216072717741,0.9226911222712677,0.9232914882428978,0.0008061500123696176,0.0009967509043311456
71,1.480637260216342,0.9954505259001752,0.9921752221192444,0.9935211372950944,6.000040780722676e-05,6.149176482191753e-05,0.9820608776592782,0.9750407644807954,0.9753922036859334,0.00015853532960100246,0.00020045404018498208,0.9366090265024133,0.9337208812870176,0.934349276900504,0.0007297478255881931,0.0009281372988644273
72,1.5101711728922829,0.9966028346580191,0.9937616763672227,0.9946814025809175,5.315131492572952e-05,5.692977637844323e-05,0.9859808826778167,0.9801316354527431,0.9805118119154587,0.00012448891048005587,0.0001605249298115323,0.9479572961464355,0.9444843197152685,0.944931769212758,0.0006427952310710706,0.0008089609241264294
73,1.5397050855682237,0.9974857832489717,0.9954896938537839,0.9965271336879327,3.8714110403514756e-05,3.40216043518343e-05,0.9891390921056913,0.9842821680779202,0.9842833675916209,9.756736391080039e-05,0.00013255290488471227,0.9576287959508608,0.9532692088967508,0.9534366703014254,0.0005634587655141266,0.0007117890049249248
74,1.5692389982441646,0.9981558164326462,0.9965705019487772,0.9973999497882008,3.005118965039997e-05,2.6039549628525085e-05,0.9916590284559846,0.9876962428505739,0.9877669178698751,7.836937982483672e-05,9.918907310186945e-05,0.9657918440405436,0.9624116073257926,0.9630319176075713,0.00047817207879990965,0.0006015529866212135
75,1.5987729109201054,0.9986593768024448,0.9973280530981694,0.9979386400798935,2.575945921923239e-05,2.245978036636703e-05,0.9936503094988047,0.9908088788455361,0.9911612643198267,6.194899216628366e-05,8.082331237699333e-05,0.9726153131337631,0.9699107064098845,0.9707009837190894,0.0003921248458369119,0.0004829228745321507
76,1.6283068235960463,0.9990341781233202,0.9982257843876429,0.9986200264660815,1.2793904580771946e-05,1.385249375926547e-05,0.9952086770214942,0.9934710704920978,0.9937332079071776,3.493756474642981e-05,4.712380942452409e-05,0.9782640643528943,0.976777828925328,0.9777369340193107,0.0002731891046261804,0.00031794577328248175
